factor,ICIR,positive_ic_ratio,is_timeseries,stability_score
f_油脂_wti_raw_x_volnorm,,,False,
f_油脂_t_season_winter_vol_norm,,,False,
f_油脂_t_is_pre_cny_vol_norm,,,False,
f_油脂_us10y_vol_norm,,,False,
f_油脂_us10y_raw_x_volnorm,,,False,
f_油脂_t_trading_days_to_month_end_vol_norm,,,False,
f_油脂_t_trading_days_to_month_end_raw_x_volnorm,,,False,
f_油脂_t_days_to_month_end_raw_x_volnorm,,,False,
f_油脂_t_season_autumn_vol_norm,,,False,
f_油脂_t_season_spring_vol_norm,,,False,
f_油脂_t_trading_week_bucket_vol_norm,,,False,
f_油脂_t_trading_week_bucket_raw_x_volnorm,,,False,
f_油脂_t_days_from_month_start_vol_norm,,,False,
f_油脂_t_days_from_month_start_raw_x_volnorm,,,False,
f_油脂_t_is_post_cny_vol_norm,,,False,
f_油脂_vix_vol_norm,,,False,
f_油脂_env_weight_vol_norm,,,False,
f_油脂_env_weight_raw_x_volnorm,,,False,
f_油脂_mfi_index_vol_norm,,,False,
f_能源_t_season_winter_div_wti,,,False,
f_能源_wti_logx_dxy,,,False,
f_能源_wti_x_us10y,,,False,
f_能源_wti_x_t_trading_days_to_month_end,,,False,
f_能源_dxy_sq,,,False,
f_能源_dxy_x_t_is_pre_cny,,,False,
f_能源_dxy_div_t_is_pre_cny,,,False,
f_能源_dxy_x_us10y,,,False,
f_能源_us10y_sq,,,False,
f_能源_wti_rank_x_wti_rank,,,False,
f_能源_wti_rank_x_t_trading_week_bucket_rank,,,False,
f_能源_wti_rank_x_env_weight_rank,,,False,
f_能源_wti_rank_x_mfi_index_rank,,,False,
f_能源_wti_rank_x_hurst_value_rank,,,False,
f_能源_wti_rank_x_pv_wad_rank,,,False,
f_能源_wti_rank_x_ma10_rank,,,False,
f_能源_wti_rank_x_hurst_strength_rank,,,False,
f_能源_wti_rank_x_kc_breakout_rank,,,False,
f_能源_wti_rank_x_pv_oi_efficiency_rank,,,False,
f_能源_wti_rank_x_kc_squeeze_rank,,,False,
f_能源_wti_rank_x_vol_wsr_rank,,,False,
f_能源_t_trading_days_to_month_end_rank_x_t_trading_days_to_month_end_rank,,,False,
f_能源_env_weight_rank_x_mfi_index_rank,,,False,
f_能源_env_weight_rank_x_hurst_value_rank,,,False,
f_能源_env_weight_rank_x_pv_wad_rank,,,False,
f_能源_env_weight_rank_x_ma10_rank,,,False,
f_能源_env_weight_rank_x_hurst_strength_rank,,,False,
f_能源_env_weight_rank_x_kc_breakout_rank,,,False,
f_能源_wti_vol_norm,,,False,
f_能源_t_season_winter_vol_norm,,,False,
f_能源_t_is_pre_cny_vol_norm,,,False,
f_能源_us10y_vol_norm,,,False,
f_能源_us10y_raw_x_volnorm,,,False,
f_能源_t_trading_days_to_month_end_vol_norm,,,False,
f_能源_t_trading_days_to_month_end_raw_x_volnorm,,,False,
f_能源_t_days_to_month_end_raw_x_volnorm,,,False,
f_能源_t_season_autumn_vol_norm,,,False,
f_能源_t_season_spring_vol_norm,,,False,
f_能源_t_trading_week_bucket_vol_norm,,,False,
f_能源_t_trading_week_bucket_raw_x_volnorm,,,False,
f_能源_t_days_from_month_start_raw_x_volnorm,,,False,
f_能源_t_is_post_cny_vol_norm,,,False,
f_能源_vix_vol_norm,,,False,
f_能源_env_weight_vol_norm,,,False,
f_能源_env_weight_raw_x_volnorm,,,False,
f_能源_mfi_index_raw_x_volnorm,,,False,
f_能源_hurst_value_vol_norm,,,False,
f_能源_hurst_value_raw_x_volnorm,,,False,
f_ts_航运_wti_x_wti,,,True,
f_ts_航运_wti_cube,,,True,
f_ts_航运_wti_x_t_season_winter,,,True,
f_ts_航运_t_season_winter_div_wti,,,True,
f_ts_航运_wti_logx_t_season_winter,,,True,
f_ts_航运_wti_x_dxy,,,True,
f_ts_航运_wti_div_dxy,,,True,
f_ts_航运_wti_x_t_is_pre_cny,,,True,
f_ts_航运_dxy_sq,,,True,
f_ts_航运_wti_vol_norm,,,True,
f_ts_航运_t_season_winter_vol_norm,,,True,
f_ts_航运_t_is_pre_cny_vol_norm,,,True,
f_ts_航运_t_trading_days_to_month_end_vol_norm,,,True,
f_ts_航运_t_trading_days_to_month_end_raw_x_volnorm,,,True,
f_ts_航运_t_days_to_month_end_raw_x_volnorm,,,True,
f_ts_航运_t_season_autumn_vol_norm,,,True,
f_ts_航运_t_season_spring_vol_norm,,,True,
f_ts_航运_t_trading_week_bucket_vol_norm,,,True,
f_ts_航运_t_days_from_month_start_raw_x_volnorm,,,True,
f_ts_航运_t_is_post_cny_vol_norm,,,True,
f_ts_航运_vix_vol_norm,,,True,
f_ts_航运_mfi_index_vol_norm,,,True,
